ith_in_data_set loc2
79 chazy
80 chazy
81 chazy
82 chazy
83 chazy
84 geneva
85 geneva
86 geneva
1 geneva
2 geneva
3 geneva
4 geneva
5 geneva
6 geneva
7 geneva
8 geneva
9 geneva
10 geneva
11 geneva
12 geneva
13 geneva
53 ithaca
54 ithaca
55 ithaca
56 ithaca
57 ithaca
58 ithaca
59 ithaca
60 ithaca
61 ithaca
62 ithaca
63 ithaca
64 ithaca
65 ithaca
87 freeville
88 freeville
89 freeville
90 freeville
91 freeville
98 freeville
99 freeville
100 freeville
101 freeville
102 freeville
103 freeville
66 freeville
67 freeville
68 freeville
69 freeville
70 freeville
71 freeville
72 freeville
73 freeville
74 freeville
75 freeville
76 freeville
77 freeville
78 freeville
122 ithaca
123 ithaca
124 ithaca
125 ithaca
126 ithaca
127 ithaca
128 ithaca
129 ithaca
130 ithaca
131 ithaca
132 ithaca
133 ithaca
134 ithaca
135 ithaca
136 ithaca
137 ithaca
138 ithaca
139 ithaca
140 ithaca
141 ithaca
142 ithaca
143 ithaca
144 ithaca
145 ithaca
146 ithaca
147 ithaca
148 ithaca
149 ithaca
92 ithaca
93 ithaca
94 ithaca
95 ithaca
104 ithaca
105 ithaca
106 ithaca
120 ithaca
121 ithaca
27 ithaca
28 ithaca
29 ithaca
30 ithaca
31 ithaca
32 ithaca
33 ithaca
34 ithaca
35 ithaca
36 ithaca
37 ithaca
38 ithaca
39 ithaca
40 ithaca
41 ithaca
42 ithaca
43 ithaca
44 ithaca
45 ithaca
46 ithaca
47 ithaca
48 ithaca
49 ithaca
50 ithaca
51 ithaca
52 ithaca
118 geneva
119 geneva
107 geneva
108 geneva
109 geneva
110 geneva
111 geneva
112 geneva
113 geneva
114 geneva
14 geneva
15 geneva
16 geneva
17 geneva
18 geneva
19 geneva
20 geneva
21 geneva
22 geneva
23 geneva
24 geneva
25 geneva
26 geneva
96 geneva
97 geneva
115 willsboro
116 willsboro
117 willsboro
